iter	Passed	Remaining
472	742	827
473	745	826
474	746	825
475	748	823
476	749	822
477	751	820
478	752	818
479	754	817
480	757	817
481	759	815
482	761	815
483	763	814
484	765	812
485	766	811
486	768	809
487	770	807
488	771	806
489	774	805
490	776	805
491	778	803
492	780	802
493	781	800
494	783	798
495	785	797
496	787	797
497	789	795
498	791	794
499	793	793
500	795	792
501	796	790
502	798	788
503	800	787
504	802	786
505	804	785
506	806	784
507	808	782
508	809	781
509	811	779
510	812	777
511	813	775
512	814	773
513	816	772
514	819	771
515	821	770
516	823	769
517	825	768
518	826	766
519	828	764
520	829	762
521	830	760
522	832	759
523	834	758
524	837	757
525	840	756
526	841	755
527	842	753
528	844	751
529	845	749
530	847	748
531	849	747
532	851	745
533	853	744
534	855	743
535	856	741
536	858	739
537	859	737
538	860	736
539	861	734
540	863	733
541	866	731
542	868	730
543	869	729
544	871	727
545	872	725
546	874	723
547	875	721
548	876	719
549	878	718
550	879	716
551	883	716
552	885	715
553	887	714
554	889	712
555	890	711
556	892	709
557	893	708
558	896	707
559	898	705
560	900	704
561	901	702
562	903	701
563	904	699
564	906	697
565	907	695
566	908	693
567	910	692
568	912	691
569	914	690
570	916	688
571	917	686
572	919	684
573	920	683
574	921	681
575	922	679
576	924	677
577	926	676
578	928	675
579	930	673
580	932	672
581	933	670
582	934	668
583	936	666
584	937	665
585	938	663
586	940	661
587	941	659
588	944	658
589	945	657
590	947	655
591	949	654
592	951	653
593	952	651
594	954	649
595	956	648
596	958	646
597	960	645
598	962	644
599	963	642
600	965	640
601	966	638
602	967	637
603	969	635
604	970	633
605	972	632
606	974	631
607	976	629
608	978	628
609	980	626
610	981	624
611	982	623
612	984	621
613	985	619
614	986	617
615	988	616
616	990	615
617	992	613
618	994	612
619	995	610
620	997	608
621	998	606
622	999	604
623	1000	603
624	1002	601
625	1004	599
626	1006	598
627	1008	597
628	1009	595
629	1011	593
630	1012	591
631	1013	590
632	1014	588
633	1015	586
634	1017	584
635	1019	583
636	1021	581
637	1023	580
638	1025	579
639	1026	577
640	1027	575
641	1028	573
642	1030	571
643	1031	570
644	1032	568
645	1034	566
646	1036	565
647	1038	564
648	1040	562
649	1041	560
