iter	RMSE
406	0.1756525978
407	0.1756260399
408	0.1755097315
409	0.1753984183
410	0.1753188277
411	0.1752242397
412	0.1751286355
413	0.1750563502
414	0.1749777549
415	0.1749664495
416	0.1749055385
417	0.1748352495
418	0.1748039612
419	0.1746899591
420	0.1746438231
421	0.1745848591
422	0.1745063258
423	0.1744656462
424	0.1743224187
425	0.1742836072
426	0.1741572965
427	0.1740828088
428	0.1740212885
429	0.1739317422
430	0.1738936122
431	0.1737359682
432	0.1736219275
433	0.17352124
434	0.1734414084
435	0.1733582679
436	0.1732755702
437	0.1731009795
438	0.1730474415
439	0.1729123432
440	0.1728408207
441	0.1727170212
442	0.1725335253
443	0.1724754129
444	0.1724373404
445	0.1723780759
446	0.1722673516
447	0.1722165016
448	0.1721624782
449	0.1721552323
450	0.1720127382
451	0.1719739612
452	0.1718389309
453	0.1718024904
454	0.1717678288
455	0.1716640298
456	0.1715531829
457	0.1714965365
458	0.1713285561
459	0.1712804207
460	0.1712453236
461	0.1711990471
462	0.1711497928
463	0.1710829868
464	0.1710080029
465	0.1709279968
466	0.1708054594
467	0.1707582267
468	0.1707182283
469	0.1706853356
470	0.1705518661
471	0.1705213237
472	0.1704644674
473	0.1704021119
474	0.1703417768
475	0.1702959229
476	0.1701671318
477	0.1700652629
478	0.1700110372
479	0.1699574077
480	0.1699010083
481	0.1697423058
482	0.1696313209
483	0.1695992096
484	0.1694842626
485	0.1694757658
486	0.1693970624
487	0.1693254269
488	0.1692320907
489	0.169166143
490	0.1690865376
491	0.1690172068
492	0.1688965682
493	0.1687868621
494	0.1686804874
495	0.1685662248
496	0.1684911223
497	0.1684195895
498	0.1682976916
499	0.168246986
500	0.1681304086
501	0.1680624166
502	0.1680053045
503	0.1679173581
504	0.1678173786
505	0.1677624728
506	0.1677117182
507	0.1676697536
508	0.1676345742
509	0.1676031584
510	0.1674853988
511	0.1674359501
512	0.1674045309
513	0.1673443792
514	0.1672111371
515	0.1671380169
516	0.1670760151
517	0.1669639069
518	0.1668933613
519	0.1668478446
520	0.1668387215
521	0.166692405
522	0.1666364439
523	0.1665262309
524	0.1664502662
525	0.1664195867
526	0.1663846188
527	0.166312992
528	0.1662453162
529	0.1661794884
530	0.1661179223
531	0.166007359
532	0.1659404592
533	0.1658780185
534	0.165762425
535	0.1657109064
536	0.1656465292
537	0.1655844165
538	0.1655243113
539	0.1654321285
540	0.1653731731
541	0.1653432368
542	0.1652770164
543	0.1652277791
544	0.1651730213
545	0.1651355881
546	0.165105993
547	0.1650422599
548	0.164954474
549	0.1649221413
550	0.1648939575
551	0.1648038902
552	0.1647258607
553	0.1646629974
554	0.1646132467
555	0.1645319168
556	0.1644166025
557	0.1643712428
558	0.1641986428
559	0.1641493905
560	0.1639869233
561	0.163969784
562	0.1639090855
563	0.1638071796
564	0.1636983207
565	0.1636634656
566	0.1636049779
567	0.1635603179
568	0.1634623702
569	0.1633689121
570	0.1632946193
571	0.1632672782
572	0.1632068418
573	0.1631368889
574	0.1630483542
575	0.163019639
576	0.1629829214
577	0.1628708814
578	0.1627854739
579	0.1627519258
580	0.162669683
581	0.1626581115
582	0.1624939629
583	0.1624346842
584	0.1623827039
585	0.1623246921
586	0.1621899228
587	0.1620148454
588	0.1619619999
589	0.1618861128
590	0.1618581539
591	0.1617827777
592	0.16174308
593	0.1616912401
594	0.1616752856
595	0.1615800566
596	0.161440676
597	0.1614111309
598	0.1613840402
599	0.1613684142
600	0.161331194
601	0.1613159049
602	0.1612097586
603	0.1611850948
604	0.1611499576
605	0.1610779286
606	0.1610214992
607	0.1608401097
608	0.1608243005
609	0.1607911814
610	0.1607765575
611	0.1607453181
612	0.1606896419
613	0.1605840743
614	0.1604902339
615	0.1604299063
616	0.1603744334
617	0.1603638782
618	0.1603362628
619	0.16023285
620	0.1601691683
621	0.1601420043
622	0.1601149077
623	0.1600264668
624	0.1599286233
625	0.159863811
626	0.1598019949
627	0.1597923623
628	0.1596996133
629	0.1596546286
630	0.1596012028
631	0.1595469945
632	0.1594907196
633	0.1594385164
634	0.1593841751
635	0.1593213805
636	0.1591692051
637	0.1591462459
638	0.1591323921
639	0.1590817064
640	0.1589451955
641	0.1588777326
642	0.1588283392
643	0.1587803685
644	0.1587344394
645	0.1585840281
646	0.15854672
647	0.1585017216
648	0.1584541141
649	0.1584164706
650	0.1583726468
651	0.1583379274
652	0.1583223844
653	0.1581971692
654	0.158178775
655	0.1581599961
656	0.1581037705
657	0.158069508
658	0.1580226263
659	0.1579511267
660	0.1579245119
661	0.1578599775
662	0.1578347273
663	0.1577597392
664	0.1576974691
665	0.15768902
666	0.1575402468
667	0.1574992847
668	0.1574847189
669	0.1574382016
670	0.1573710271
671	0.157313041
672	0.1572748403
673	0.1572401772
674	0.157202349
675	0.157175522
676	0.1571386623
677	0.1569961903
678	0.1568776769
679	0.1568535621
680	0.156775078
681	0.1566399145
682	0.1566058286
683	0.1565476057
684	0.1565390095
685	0.1565346693
686	0.1564908847
687	0.1564376449
688	0.1564021937
689	0.1563022868
690	0.1562695886
691	0.1562418031
692	0.1561506101
693	0.1561084809
694	0.156023922
695	0.1559851226
696	0.1559404857
697	0.155845458
698	0.1557959123
699	0.1557581975
700	0.1557027003
701	0.1556580408
702	0.1556236695
703	0.1555915676
704	0.1555534939
705	0.1555139978
706	0.1554139774
707	0.1553813777
708	0.155330239
709	0.1552027614
710	0.1551654428
711	0.1551422537
712	0.1550103183
713	0.1549200171
714	0.1548839915
715	0.1548377908
716	0.1548005038
717	0.1547654501
718	0.1547303655
719	0.1546881833
720	0.1545886672
721	0.1545557292
722	0.1545293666
723	0.1544352395
724	0.1544093791
725	0.1543676308
726	0.1543269664
727	0.1543019727
728	0.154269963
729	0.1541742345
730	0.1541000769
731	0.1540763198
732	0.1540247654
733	0.1540000406
734	0.1539154046
735	0.1538811294
736	0.1537711052
737	0.1537252838
738	0.1536309699
739	0.1535251112
740	0.1534298625
741	0.153393258
742	0.1532601885
743	0.153191155
744	0.1531514539
745	0.1530967511
746	0.1530698491
747	0.1529902768
748	0.1529469136
749	0.1529142933
750	0.1528976802
751	0.1528500527
752	0.1527260033
753	0.152700184
754	0.1525852632
755	0.1525615018
756	0.1525258613
757	0.152494035
758	0.1524705729
759	0.1524207335
760	0.152397767
761	0.1522921966
762	0.152267553
763	0.1521768394
764	0.1520401804
765	0.1520066346
766	0.1518942072
767	0.151871603
768	0.1518379925
769	0.1518161801
770	0.1517786122
771	0.1517575427
772	0.1516991359
773	0.151681007
774	0.1515755555
775	0.1514995866
776	0.1514679589
777	0.1513814591
778	0.1512824334
779	0.1512238955
780	0.1512027436
781	0.1511760879
782	0.1511544103
783	0.1511241822
784	0.1510608608
785	0.1509873233
786	0.1509603134
787	0.1508881668
788	0.1508551261
789	0.1508263139
790	0.1507994395
791	0.150793574
792	0.1506820279
793	0.1506729121
794	0.1506284161
795	0.1505761316
796	0.1504804864
797	0.15045563
798	0.1503702011
799	0.150345945
800	0.1502970959
801	0.1502352133
802	0.1502139322
803	0.1501340679
804	0.1501216573
805	0.1501179468
806	0.1500963887
807	0.1500857165
808	0.1500073199
809	0.1499887696
810	0.149959641
811	0.1499364029
812	0.1499159808
813	0.1498757267
814	0.149780207
815	0.1497390292
816	0.1496691001
817	0.1496420034
818	0.1496105399
819	0.1494709309
820	0.1494632539
821	0.1493870311
822	0.1493144849
823	0.1492944609
824	0.1492749868
825	0.1492149292
826	0.1491957683
827	0.1491741777
828	0.149094147
829	0.1490755359
830	0.148999332
831	0.148966019
832	0.1489105738
833	0.1488747852
834	0.1487696271
835	0.1487512824
836	0.1486968556
837	0.1486753464
838	0.1486480089
839	0.1485823973
840	0.1485649187
841	0.1485411768
842	0.1484433306
843	0.1484258402
844	0.1484015524
845	0.1483843331
846	0.1483526219
847	0.1483461806
848	0.148330828
849	0.1482784783
850	0.1482256623
851	0.1482092397
852	0.1481452545
853	0.1480757387
854	0.148042118
855	0.1480316553
856	0.1480103628
857	0.1479860468
858	0.1479305415
859	0.1478918236
860	0.1478738789
861	0.1478334276
862	0.1478178426
863	0.147801844
864	0.1477864975
865	0.1476996563
866	0.1476915231
867	0.1476848481
868	0.1476697395
869	0.1476169886
870	0.1476020372
871	0.1475788577
872	0.1475494214
873	0.1474957598
874	0.1474544261
875	0.1474207013
876	0.1474059916
877	0.1473899103
878	0.1473207624
879	0.1473066987
880	0.1472975295
881	0.147253794
882	0.1472388452
883	0.1471516623
884	0.1471450755
885	0.1471234554
886	0.1471097512
887	0.1470360269
888	0.1470226161
889	0.1469726233
890	0.1469409409
891	0.1468946701
892	0.1468464109
893	0.1468278312
894	0.1468136177
895	0.1467667428
896	0.1467503338
897	0.146739498
898	0.1467334704
899	0.1467208208
900	0.1466621113
901	0.146595486
902	0.1465587435
903	0.14653965
904	0.1465237562
905	0.146511348
906	0.1464913663
907	0.1463879051
908	0.1463749568
909	0.1463687122
910	0.1463369215
911	0.146323239
912	0.1463112929
913	0.1463062759
914	0.1462957295
915	0.1462653005
916	0.1462095962
917	0.146198154
918	0.1461874913
919	0.1461762931
920	0.1461493144
921	0.1461297132
922	0.146103224
923	0.146006551
924	0.1459946741
925	0.1459484044
926	0.1459370295
927	0.1459068458
928	0.1458255894
929	0.1457739221
930	0.1456968282
931	0.1456356971
932	0.1456164522
933	0.1455900866
934	0.1455199397
935	0.1454260245
936	0.1453497019
937	0.1452800462
938	0.1452135562
939	0.1451954211
940	0.1451817225
941	0.1451628817
942	0.1451032273
943	0.1450668246
944	0.1450471925
945	0.1449530314
946	0.1449355053
947	0.1448065847
948	0.1447809255
949	0.1447187348
950	0.1447035712
951	0.1446410571
952	0.1446207739
953	0.1446161698
954	0.1445283471
955	0.1444691279
956	0.1443781465
957	0.1443687747
958	0.1443576211
959	0.1443467464
960	0.1443230578
961	0.1443124375
962	0.1442817009
963	0.1442270875
964	0.1441596299
965	0.1441513975
966	0.1440852655
967	0.1440751768
968	0.1440568548
969	0.1440370913
970	0.1439910585
971	0.1439868468
972	0.1439305833
973	0.1438722349
974	0.14386227
975	0.1437714818
976	0.1437210129
977	0.1437117056
978	0.1437036795
979	0.1436760513
980	0.1436378149
981	0.1436237981
982	0.1435827079
983	0.1435611561
984	0.1435473343
985	0.1435244166
986	0.1435146345
987	0.1433981371
988	0.1433543
989	0.1433499582
990	0.1432358504
991	0.1431464213
992	0.1430842138
993	0.1430669511
994	0.1430331479
995	0.1430119852
996	0.1429957385
997	0.1429861784
998	0.1429687548
999	0.1429594283
